# machine_type: uv
# lens: 70mm
# source: ComMarker Omni XE 6W UV
# Transcribed from "Omni X 6W Material Settings.pdf" — OMNI 6W PARAMETER, 70mm lens.
# UV galvo laser: qpulse = the "Pulse-Width" column (ns, the UV Q-pulse / primary),
# speed mm/s (as printed), freq kHz, interval mm. No power on this laser. "Photo" rows
# (dwell-time µs + DPI) are omitted — they aren't a speed value. Numbers cross-checked
# against the OCR text layer; verify before relying on them.

Glass Engraving | engrave | speed=400, freq=40, qpulse=1, passes=1, interval=0.02
Cutting Felt | cut | speed=400, freq=40, qpulse=1, passes=3
Black cotton T-shirt | mark | speed=2000, freq=40, qpulse=8, passes=1, interval=0.02

Phone Cases (TPU) | mark | speed=1200, freq=40, qpulse=1, passes=1, interval=0.01
Charger Adaptor | mark | speed=2000, freq=40, qpulse=18, passes=1, interval=0.02
PCB Marking | mark | speed=2000, freq=40, qpulse=18, passes=1, interval=0.02
USB | mark | speed=2000, freq=40, qpulse=18, passes=1, interval=0.02

Orange | mark | speed=2000, freq=40, qpulse=1, passes=2, interval=0.02
Apple | mark | speed=2400, freq=40, qpulse=1, passes=1, interval=0.01
Banana | mark | speed=1400, freq=40, qpulse=1, passes=1, interval=0.02
Macarons | mark | speed=800, freq=30, qpulse=1, passes=3, interval=0.03
Egg | mark | speed=2000, freq=40, qpulse=1, passes=1, interval=0.02
Chocolate | mark | speed=3000, freq=30, qpulse=6, passes=1, interval=0.02
Biscuit | mark | speed=2400, freq=30, qpulse=6, passes=1, interval=0.02

Baseball | mark | speed=2000, freq=30, qpulse=18, passes=1, interval=0.02
Table Tennis Ball | mark | speed=3000, freq=30, qpulse=10, passes=1, interval=0.02
Golf Ball | mark | speed=1400, freq=40, qpulse=24, passes=1, interval=0.02

Slate Marking (Grey) | mark | speed=2000, freq=40, qpulse=1, passes=1, interval=0.02
Slate Marking (White) | mark | speed=200, freq=40, qpulse=1, passes=1, interval=0.03
Slate 3D Engraving | engrave | speed=1400, freq=40, qpulse=1, passes=120, interval=0.02
Stone Marking | mark | speed=1000, freq=40, qpulse=1, passes=9, interval=0.02
Stone Deep Engraving | engrave | speed=1000, freq=40, qpulse=1, passes=256, interval=0.02

Paper Marking | mark | speed=2000, freq=30, qpulse=6, passes=1, interval=0.02
Paper Cutting | cut | speed=200, freq=40, qpulse=1, passes=2

Black Carbon Fiber Marking | mark | speed=3000, freq=40, qpulse=18, passes=1, interval=0.02
Carbon Fiber Cutting 0.2mm | cut | speed=200, freq=40, qpulse=1, passes=4
